idLagunas,Nombre,Codigo,Identificador,Estado,Rend,Nombre_Proyecto,idplatanus,ranking,idioma,mailcontacto,subjectr,mailcontacto2,horariocorte,Water_analysis,Region
Sam,SAM,E-CHL-1619,2.0,True,True,SAM,4.0,1100.0,E,,Sam,,14:00,False,7.0
Ses,Sharm El Sheikh,E-EGY-1502,3.0,True,True,Citystars Sharm El Sheikh Lagoon,33.0,5100.0,I,Mohamed.Hosny@citystars.com.eg,Ses,Hany.Mohamed@citystars.com.eg,05:30,False,5.0
Con,Condores,E-CHL-1524,1.0,True,True,CÃ³ndores,18.0,1800.0,E,,Con,,18:00,False,7.0
Ver,Veracruz,E-MEX-1517,6.0,True,True,Veracruz,23.0,3600.0,E,,Ver,,14:00,False,7.0
Vis,Vista,E-CHL-1511,2.0,True,True,Vista,22.0,1300.0,E,condominiogral@gmail.com,Vis,,14:00,False,7.0
Azu,Vista Azul,E-MEX-1516,6.0,True,True,Vista Azul,26.0,3400.0,E,,Azu,,14:00,False,7.0
Aqv,Aqua Village,E-PRY-1773,6.0,True,True,Aqua Village,29.0,1990.0,E,operaciones@consorcioaquavillage.com.py,Aqv,,14:00,False,7.0
Blu,Blue Lagoon,E-PRY-1530,6.0,True,True,Blue Lagoon,32.0,1985.0,E,mrgonzalez@bluelagoon.com.py,Blu,,18:00,False,7.0
Hua,Hua Hin,E-THA-1845,3.0,True,True,Mahasamutr Lagoon,36.0,4500.0,I,lagoontech@mahasamutr.com,Hua,supoj@mahasamutr.com,05:00,False,5.0
Cui,Cuiaba,E-BRA-1551,6.0,True,True,CuiabÃ¡,21.0,1970.0,E,,Cui,,18:00,False,7.0
Alc,Alcazaba Hills,E-ESP-1568,3.0,True,True,Alcazaba Hills,44.0,6100.0,E,antonio@alcazabalagoon.com,Alc,,17:00,False,4.0
SamI,SAM IntervenciÃ³n,I-SAM-0001,12.0,False,False,SAM IntervenciÃ³n,,,,,SamI,,14:00,False,7.0
Sln2,Swan Lake North 2,E-EGY-1624-2,3.0,True,True,Swan Lake North 2,62.0,5150.0,I,,Sln2,,14:00,False,5.0
Mga,Monte Galala,E-EGY-2064,3.0,False,True,Monte Galala,,,,,Mga,,14:00,False,5.0
Me1,Meydan F1,E-ARE-1561F1,3.0,True,True,MBRD1- Phase 1,41.0,4200.0,I,Jahangir.Khan@idama.ae,Me1,Jithin.Mathew@idama.ae,05:30,False,5.0
Sla,Solanas,E-URY-1538,2.0,True,True,Solanas,42.0,1980.0,E,,Sla,,14:00,False,7.0
Csl,Casa Del Sol,E-ECU-1577,1.0,True,True,Casa Del Sol,43.0,1995.0,E,,Csl,,18:00,False,7.0
Gra,Gastos Generales,PR-GRAL,,False,False,Gastos Generales,,,,,Gra,,,False,0.0
Wgn,Wave garden R&D,Id0001-WG,,False,False,Wave garden R&D,,,,,Wgn,,,False,0.0
Pir,Laguna de la Piramide,E-CHL-1868,1.0,True,True,Laguna de la Piramide,51.0,1705.0,E,clublagunadelapiramide@gmail.com,Pir,,16:00,False,7.0
Azh,Azha,E-EGY-1807,3.0,True,True,Azha,67.0,5152.0,,,Azh,,05:30,False,0.0
Twn,Twin Creeks,E-USA-1756,4.0,True,True,Twin Creeks,46.0,3700.0,I,alexa.beachwalk@gmail.com,Twn,chris@beachwalklagoon.com,14:00,True,8.0
Epp,Epperson Ranch,E-USA-1576,4.0,True,True,Epperson Ranch - Park Place	,47.0,3800.0,I,Attila@lagooninformation.com,Epp,nick@theeppersonlagoon.com,12:00,True,8.0
Cen,Laguna Centro,E-CHL-1574,5.0,True,True,Laguna Centro,50.0,1701.0,E,,Cen,,16:00,False,7.0
Rvw,Riverwalk,E-ZAF-3138,3.0,True,True,Riverwalk,48.0,5160.0,I,bandilem@balwin.co.za,Rvw,iann@balwin.co.za,11:00,False,5.0
Lfl,Laguna Flotante-Corfo,I-LFC-0001,,False,True,Laguna Flotante-Corfo,,,E,,Lfl,,,False,0.0
Art,Artemio,Artemio,,False,True,Artemio,,,,,Art,,,False,0.0
Jun,Jungle Island,E-USA-1850,4.0,False,True,Jungle Island,,3706.0,,,Jun,,,False,0.0
Dzn,Drop Zone,E-THA-3197,3.0,True,True,Drop Zone,56.0,4505.0,I,Worawitb@bluetree.fun,Dzn,panidan@bluetree.fun,02:00,False,5.0
Hjy,Hacienda La Joya,E-PER-1578,2.0,True,True,Hacienda La Joya,52.0,1941.0,E,,Hjy,,14:00,False,7.0
Bal,Balmoral,E-USA-3175,4.0,True,True,Balmoral,49.0,3801.0,I,balmoral@asplagoons.com,Bal,lvh56426@gmail.com,14:00,True,8.0
Boi,Bo Islands,E-EGY-1760,3.0,True,True,Bo Islands,,5165.0,I,,Boi,,09:00,False,5.0
Rlc,Rancho Las Colinas,E-CRI-1582,6.0,False,True,Rancho Las Colinas,,,E,,Rlc,,,False,0.0
Sdm,Stella di Mare,E-EGY-2425,3.0,False,True,Stella di Mare,,,I,,Sdm,,,False,0.0
Smi,SoLeMia,E-USA-1754,4.0,True,True,SoLeMia,53.0,3802.0,I,chris.newland@jeffellismanagement.com,Smi,ethan.barba@jeffellismanagement.com,14:00,True,8.0
Mad,Mar adentro,E-BOL-1563,6.0,True,True,Mar adentro,57.0,1935.0,E,fernando.antelo@maradentro.com.bo,Mad,,,False,7.0
Til,Tilal Al Ghaf,E-ARE-1938,3.0,True,True,Tilal Al Ghaf,54.0,4205.0,I,dhettiarachchi@enova-me.com,Til,tag-supervisor@enova-me.com,05:00,False,5.0
CARA,Conflicto ARA,I-ARA-0001,6.0,False,True,Conflicto ARA,,,,,,,,False,0.0
Win,Windsong Ranch,E-USA-3136,4.0,True,True,Windsong Ranch,75.0,3809.0,I,kwalters@wsrgrounds.com,Win,,14:00,True,8.0
Lcr,Las Cruces,E-CHL-1620,6.0,True,True,Las Cruces,58.0,1919.0,E,carlosacn89@gmail.com,Lcr,lsepulveda@raymon.cl,14:00,False,0.0
Tur,Playa Turquesa,E-BOL-1567,6.0,True,True,Playa Turquesa,59.0,1936.0,E,mmartinez@playaturquesa.bo,Tur,,,False,0.0
Gpm,Golf Porto Marina,E-EGY-1625,3.0,True,True,Golf Porto Marina,,5103.0,I,,Gpm,,05:30,False,5.0
Vfi,Vidifi,E-VNM-3203,3.0,True,True,Vidifi,70.0,5200.0,I,v.hadm4@vinhomes.vn,Vfi,,05:00,False,5.0
Lma,Lago Mar,E-USA-1728,4.0,True,True,Lago Mar,,3811.0,I,robert@asplagoons.com,Lma,delvindewon87@gmail.com,14:00,True,8.0
Har,Conflicto Seminole Hard Rock,I-HAR-0001,4.0,False,True,Conflicto Seminole Hard Rock,,,I,,Har,,,False,0.0
Eag,The Eagle,E-USA-2615,4.0,False,True,The Eagle,,3705.0,,,Eag,,,False,8.0
Bds,Brisas del Sur,E-GTM-3537,6.0,False,True,Brisas del Sur,,,E,,Bds,,,False,0.0
Plo,El Plomo,I-EPL-0001,,False,True,El Plomo,,,,,,,,False,0.0
Ftb,Forest Brooke,E-USA-1605,4.0,True,True,Forest Brooke,,3750.0,I,jeff@ssblagoon.com,Ftb,jevon@ssblagoon.com,14:00,False,8.0
Sro,Santa Rosalia,E-ESP-2416,3.0,True,True,Laguna Rosalia,68.0,6110.0,E,xisko_official@outlook.com,Sro,,17:00,False,4.0
Laf,Laguna Flotante-OP y Aguas,I-LD&C-0014,,False,True,Laguna Flotante-OP y Aguas,,,,,Laf,,,False,0.0
Okb,Onikisubat Belediyesi,E-TUR-2488,3.0,True,True,Onikisubat Belediyesi,64.0,6120.0,I,,Okb,,05:30,False,0.0
Aqu,Aqua,E-USA-1609,4.0,True,True,Aqua,,3752.0,,emma@h2lagoonsolutions.com,Aqu,,14:00,False,8.0
Mir,Mirada,E-USA-1888,4.0,True,True,Mirada,,3703.0,,,Mir,,,False,8.0
Tbe,The Beach at Punta Cana,E-DOM-1622,6.0,True,True,The Beach at Punta Cana,,3110.0,E,,Tbe,,,False,7.0
Nya,Nya,E-CRI-3929,6.0,False,True,Nya,,3120.0,,,Nya,,,False,7.0
Rem,Remeros Beach,E-ARG-1575,2.0,True,True,Remeros Beach,38.0,1970.0,E,,Rem,,,False,7.0
Acq,Acqua Vista,E-ARG-1552,2.0,False,True,Acqua Vista,,1980.0,E,,Acq,,,False,7.0
Bak,Baia Kristal,E-COL-3584,2.0,False,True,Baia Kristal,,2002.0,,,Bak,,,False,7.0
Ary,Ary Laguna,E-PAK-3835,3.0,False,True,Ary LAguna,,5105.0,I,,Ary,,,False,5.0
Mun,Munyaka,E-ZAF-3575,2.0,True,True,Munyaka,73.0,5161.0,I,andrewh@balwin.co.za,Mun,,11:00,False,5.0
Plc,Plascencia,E-MEX-2622,6.0,True,True,Plascencia,,3401.0,E,,Plc,,14:00,False,7.0
Kar,Karibao,E-ECU-1559,1.0,True,True,Karibao,71.0,1996.0,E,,Kar,,18:00,False,7.0
Slg,Swan Lake El Gouna,E-EGY-1822,3.0,True,True,Swan Lake El Gouna,72.0,5153.0,I,osamir@hap.com.eg,Slg,osamir@hap.com.eg,18:00,False,0.0
Ade,Aqua Developer,E-ARG-3871,2.0,False,True,Aqua Developer,,,,,Ade,,,False,0.0
Bgw,Brightwater,E-USA-1607,4.0,False,True,Brightwater,,3701.0,,,,,,False,0.0
Gcy,Grand Cypress,E-USA-3157,4.0,False,True,Grand Cypress,,3702.0,,,,,,False,0.0
Sln1,Swan Lake North1,E-EGY-1624-1,3.0,True,True,Swan Lake North 1,69.0,5151.0,I,,Sln1,,14:00,False,5.0
Moo,Club Moolia,E-AUS-3616,,False,True,,,,I,,,,,False,0.0
Aqt,Aquaterra,E-PRY-1878 ,6.0,True,True,Aquaterra,,1986.0,E,,Aqt,,,False,0.0
Cdl,Costa del Lago,E-PRY-1623,6.0,True,True,Costa del Lago,,1987.0,E,,Cdl,,,False,0.0
Vid,Vida Lagoons,E-ARG-3872,2.0,False,True,Vida Lagoons,,,,,,,,False,0.0
Nll,Novo Luanda Leste,E-AGO-3715,3.0,False,True,Novo Luanda Leste,,,I,,,,,False,0.0
Lsp,Leander Springs,E-USA-3717,4.0,False,True,Leander Springs,,3704.0,,,Lsp,,,False,0.0
Me,,,,True,True,,,,,,,,,False,0.0
Me3,Meydan F3,E-ARE-1561F3,3.0,True,True,MBRD1- Phase 3,,4201.0,I,,Me3,,05:30,False,0.0
Sln3,Swan Lake North 3,E-EGY-1624-3,3.0,True,True,Swan Lake North 3,,5152.0,I,,Sln3,,,False,0.0
Ava,AVA Resort,E-MEX-1621,6.0,False,True,AVA Resort,,3402.0,E,,Ava,,,False,7.0
